frame_id,stamp,pos_x,pos_y,pos_z,orientation_x,orientation_y,orientation_z,orientation_w
map,304321000000,-4.9880345306844855,3.218479230375093,0.0,0.0,0.0,-0.7071067811865476,-0.7071067811865475
map,306801000000,-5.070085813958427,3.172992378240285,0.0,0.0,0.0,-0.7071067811865476,-0.7071067811865475
map,309516000000,-4.947008889047514,3.172992378240285,0.0,0.0,0.0,0.9990952691941798,-0.04252814449055333
map,386869000000,2.273504039059331,4.583085033007356,0.0,0.0,0.0,-0.7071067811865476,-0.7071067811865475
map,389208000000,2.6427348137920674,4.583085033007356,0.0,0.0,0.0,1.0,6.123233995736766e-17
map,463290000000,5.842734861475783,0.8531631579531311,0.0,0.0,0.0,0.7071067811865475,-0.7071067811865477
map,316653000000,-2.5675216741032134,2.490689596218171,0.0,0.0,0.0,0.7294826259145133,-0.6839993410003158
map,86210000000,-4.9880345306844855,3.1275055261054776,0.0,0.0,0.0,-0.7071067811865476,-0.7071067811865475
map,91413000000,-5.27521402214328,3.172992378240285,0.0,0.0,0.0,-0.7071067811865476,-0.7071067811865475
map,96181000000,-4.618803755951749,3.218479230375093,0.0,0.0,0.0,0.9990218397581679,-0.04421949441372448
map,296646000000,2.724786097066009,4.492111090149706,0.0,0.0,0.0,-0.7071067811865476,-0.7071067811865475
map,301130000000,2.396580963970243,4.492111090149706,0.0,0.0,0.0,-0.7071067811865476,-0.7071067811865475
map,305278000000,2.396580963970243,4.765032202958552,0.0,0.0,0.0,-0.7071067811865476,-0.7071067811865475
map,308826000000,2.560683530518126,4.583084794419322,0.0,0.0,0.0,0.9976302424395805,-0.06880333836336579
map,690251000000,5.829059230262385,1.17157088430875,0.0,0.0,0.0,0.7071067811865475,-0.7071067811865477
map,96826000000,-4.618803755951749,3.218479230375093,0.0,0.0,0.0,0.9990218397581679,-0.04421949441372448
map,7035000000,-4.618803755951749,3.218479230375093,0.0,0.0,0.0,0.9990218397581679,-0.04421949441372448
map,21779000000,-4.618803755951749,3.218479230375093,0.0,0.0,0.0,0.9990218397581679,-0.04421949441372448
map,40370000000,5.829059230262385,1.17157088430875,0.0,0.0,0.0,0.7071067811865475,-0.7071067811865477
